Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit,,,,,,,,,,,,,,
Constable,Darius Quimby,Stabbed,"Monday, January 3, 1791",1791,January,Monday,"Albany County Constable's Office, NY",New York,0,,,,,,,,,,,,,,
Sheriff,Cornelius Hogeboom,Gunfire,"Saturday, October 22, 1791",1791,October,Saturday,"Columbia County Sheriff's Office, NY",New York,0,,,,,,,,,,,,,,
Deputy Sheriff,Isaac Smith,Gunfire,"Thursday, May 17, 1792",1792,May,Thursday,"Westchester County Sheriff's Department, NY",New York,0,,,,,,,,,,,,,,
Marshal,Robert Forsyth,Gunfire,"Saturday, January 11, 1794",1794,January,Saturday,"United States Department of Justice - United States Marshals Service, US",United States,0,,,,,,,,,,,,,,
Deputy Sheriff,Robert Berwick,Gunfire,"Thursday, June 29, 1797",1797,June,Thursday,"New York County Sheriff's Office, NY",New York,0,,,,,,,,,,,,,,
Sheriff,Robert Maxwell,Gunfire,"Sunday, November 12, 1797",1797,November,Sunday,"Washington District Sheriff's Office, SC",South Carolina,0,,,,,,,,,,,,,,
Superintendent,Hilary Baker,Duty related illness,"Tuesday, September 25, 1798",1798,September,Tuesday,"Philadelphia Police Department, PA",Pennsylvania,0,,,,,,,,,,,,,,
High Sheriff,John Caldwell Cook,Gunfire,"Tuesday, October 16, 1804",1804,October,Tuesday,"Mecklenburg County Sheriff's Office, NC",North Carolina,0,,,,,,,,,,,,,,
Watchman,Christian Luswanger,Stabbed,"Thursday, December 25, 1806",1806,December,Thursday,"New York City Night Watch, NY",New York,0,,,,,,,,,,,,,,
Deputy Sheriff,John A. Gooch,Gunfire,"Saturday, March 7, 1807",1807,March,Saturday,"Livingston County Sheriff's Department, KY",Kentucky,0,,,,,,,,,,,,,,
Deputy Sheriff,Ebenezer Parker,Assault,"Monday, January 18, 1808",1808,January,Monday,"Cumberland County Sheriff's Office, ME",Maine,0,,,,,,,,,,,,,,
Night Watchman,George Workner,Stabbed,"Tuesday, March 15, 1808",1808,March,Tuesday,"Baltimore City Police Department, MD",Maryland,0,,,,,,,,,,,,,,
Boatman,Asa Marsh,Gunfire,"Wednesday, August 3, 1808",1808,August,Wednesday,"United States Department of the Treasury - United States Customs Service, US",United States,0,,,,,,,,,,,,,,
Boatman,Ellis Drake,Gunfire,"Wednesday, August 3, 1808",1808,August,Wednesday,"United States Department of the Treasury - United States Customs Service, US",United States,0,,,,,,,,,,,,,,
Custom House Officer,Daniel Miller,Gunfire,"Monday, January 1, 1810",1810,January,Monday,"United States Department of the Treasury - United States Customs Service, US",United States,0,,,,,,,,,,,,,,
Deputy Sheriff,John Tileston Downes,Gunfire,"Monday, January 28, 1811",1811,January,Monday,"Washington County Sheriff's Office, ME",Maine,0,,,,,,,,,,,,,,
Customs Inspector,John Stout,Gunfire,"Friday, January 21, 1814",1814,January,Friday,"United States Department of the Treasury - United States Customs Service, US",United States,0,,,,,,,,,,,,,,
Keeper,Thomas Hewlett,Stabbed,"Friday, December 2, 1814",1814,December,Friday,"Vermont Department of Corrections, VT",Vermont,0,,,,,,,,,,,,,,
Sheriff,Caleb Hewitt,Assault,"Monday, September 9, 1816",1816,September,Monday,"Davidson County Sheriff's Office, TN",Tennessee,0,,,,,,,,,,,,,,
Deputy Sheriff,William Huddleston,Assault,"Friday, October 9, 1818",1818,October,Friday,"Schoharie County Sheriff's Department, NY",New York,0,,,,,,,,,,,,,,
Constable,"Jacob Dearduff, Sr.",Stabbed,"Saturday, February 22, 1823",1823,February,Saturday,"Jamestown Police Department, OH",Ohio,0,,,,,,,,,,,,,,
Constable,Elijah Chenault,Assault,"Monday, August 4, 1823",1823,August,Monday,"Alexandria Police Department, VA",Virginia,0,,,,,,,,,,,,,,
Constable,Robert Murphy,Stabbed,"Thursday, November 11, 1824",1824,November,Thursday,"Franklin County Sheriff's Department, IN",Indiana,0,,,,,,,,,,,,,,
Constable,William Davidson,Gunfire,"Thursday, April 14, 1825",1825,April,Thursday,"Pennsylvania State Constable - Venango County, PA",Pennsylvania,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
,,,,,,,,,,,,,,Sergeant,William Jourdan,Gunfire,"Wednesday, October 14, 1857",1857,October,Wednesday,"Baltimore City Police Department, MD",Maryland,0
,,,,,,,,,,,,,,Patrolman,Ezekiel Wentworth Hodsdon,Gunfire,"Sunday, October 18, 1857",1857,October,Sunday,"Boston Police Department, MA",Massachusetts,0
,,,,,,,,,,,,,,Patrolman,Horatio Sanger,Assault,"Sunday, November 22, 1857",1857,November,Sunday,"New York Metropolitan Police Force, NY",New York,0
,,,,,,,,,,,,,,Sheriff,William C. Getman,Gunfire,"Thursday, January 7, 1858",1858,January,Thursday,"Los Angeles County Sheriff's Department, CA",California,0
